LearningRate,HiddenLayer,OutputLayer,TrainLoss,ValidationLoss
0.25,3,1,0.19963200655124688,0.3033126839633316
0.25,3,2,0.15152584634306196,0.24801038721555346
0.25,3,3,0.2706998186905416,0.5183309141912983
0.25,3,4,0.25665406495803006,0.4130603850109097
0.25,5,1,0.12692939078427978,0.25992994372583644
0.25,5,2,0.1512844018426291,0.3744250037806844
0.25,5,3,0.16301389935634644,0.2418315329267209
0.25,5,4,0.21170437621273422,0.3075772931690395
0.25,7,1,0.1156270432186154,0.24736977776254881
0.25,7,2,0.2339952016274873,0.2682353428209622
0.25,7,3,0.11782489330724724,0.210800086355975
0.25,7,4,0.11866474411007176,0.2287262493404398
0.25,9,1,0.10762402484793977,0.18348637372431462
0.25,9,2,0.1437416552945035,0.23081308654691549
0.25,9,3,0.15569198606750786,0.3724039516515203
0.25,9,4,0.1818639520916679,0.28197966934718743
0.2,3,1,0.17873795339664836,0.48220274651435463
0.2,3,2,0.2287872564707841,0.42035681734676383
0.2,3,3,0.184606812050673,0.30434986802178177
0.2,3,4,0.1887994593685298,0.39251142359274344
0.2,5,1,0.1844898911169789,0.3177155707411261
0.2,5,2,0.13310168612587,0.2579723026987919
0.2,5,3,0.17472907210997665,0.23938280584020008
0.2,5,4,0.14309268801566613,0.24248219763241524
0.2,7,1,0.16260504539452775,0.24747702880841466
0.2,7,2,0.12138042855025831,0.21457279973566593
0.2,7,3,0.11342009421116742,0.2029325277874772
0.2,7,4,0.15080719041120041,0.20887362797156525
0.2,9,1,0.1151742140613565,0.23228137470988683
0.2,9,2,0.11331310035955339,0.20751800666993098
0.2,9,3,0.14148011958042891,0.21406965665352215
0.2,9,4,0.13404806702815206,0.29331195220437123
0.15,3,1,0.19189539764244415,0.31327472393612427
0.15,3,2,0.2836438980869157,0.4841498242155312
0.15,3,3,0.2891008007921745,0.507021225856565
0.15,3,4,0.24988520151966678,0.37633487784403047
0.15,5,1,0.14043631915824187,0.235743865435805
0.15,5,2,0.11486086998801559,0.20401978740124593
0.15,5,3,0.11922754566790057,0.1931049549325809
0.15,5,4,0.1356295921122034,0.2820110529280415
0.15,7,1,0.1559162245442367,0.28863790757831204
0.15,7,2,0.16373863759974286,0.26683781262862005
0.15,7,3,0.09990038637752272,0.1749429831531698
0.15,7,4,0.17127190462320677,0.25636853663122855
0.15,9,1,0.1263094797588946,0.2240527943848082
0.15,9,2,0.10955690809251295,0.20573141779140455
0.15,9,3,0.11873867022099385,0.2362786322515336
0.15,9,4,0.13097553845406504,0.21267289277049908
0.1,3,1,0.20938048938800802,0.3452472698153568
0.1,3,2,0.28411433107773965,0.5646756111097133
0.1,3,3,0.15979592908464374,0.2629366209603602
0.1,3,4,0.16092946088974164,0.2862223122621875
0.1,5,1,0.2948599342868506,0.5125706705941149
0.1,5,2,0.11967549809327387,0.2249770252656659
0.1,5,3,0.10512104621001868,0.1959276007179528
0.1,5,4,0.1350707284245456,0.24085170893852817
0.1,7,1,0.20669255165258085,0.32495188628278276
0.1,7,2,0.14393230826484116,0.26158013180065287
0.1,7,3,0.17333932793996162,0.2539914168978282
0.1,7,4,0.12787372931705207,0.22085103763132305
0.1,9,1,0.18034766999765584,0.2820301226250887
0.1,9,2,0.1343196004743004,0.3044779430400363
0.1,9,3,0.1155703298505859,0.2243662285715821
0.1,9,4,0.1043202502615996,0.20846097191841706
0.07,3,1,0.2286399804706824,0.40419191570268914
0.07,3,2,0.2750136892372206,0.47471463653101925
0.07,3,3,0.20001713709322846,0.37120347672728393
0.07,3,4,0.14440689067185047,0.2557147079439679
0.07,5,1,0.21513547188059398,0.38502604544183866
0.07,5,2,0.15859624970689737,0.3498620377059867
0.07,5,3,0.18621461916176385,0.2852192807432478
0.07,5,4,0.15871083759800075,0.2846569361822891
0.07,7,1,0.23704659274337944,0.4003681367202838
0.07,7,2,0.150035430271421,0.2736346715550078
0.07,7,3,0.16477444856395165,0.2661588892518058
0.07,7,4,0.14100482280904328,0.24825102120778553
0.07,9,1,0.18161421155248214,0.34169363960756427
0.07,9,2,0.13337789261198427,0.26454459837995786
0.07,9,3,0.11871259017601753,0.29058788980718187
0.07,9,4,0.11850692457194728,0.22730558297729148
