LearningRate,HiddenLayer,OutputLayer,TrainLoss,ValidationLoss
0.2,1,1,0.7075326447061173,1.1745298780037419
0.2,1,2,0.7032195429480161,1.165657016861677
0.2,1,3,0.5898753432243782,0.7633966713063723
0.2,3,1,0.2612952967996343,0.452727310405083
0.2,3,2,0.19843634233249693,0.34318250190046395
0.2,3,3,0.13524953245786317,0.2794059841529995
0.2,5,1,0.12180199225332491,0.23233153625395428
0.2,5,2,0.11794993788756232,0.2383670289174983
0.2,5,3,0.15232221364840584,0.241331911619064
0.2,7,1,0.12469738071374153,0.21121152794331527
0.2,7,2,0.1512649832334272,0.26046534622760137
0.2,7,3,0.1325680761903764,0.20435535948227732
0.2,9,1,0.12579079144641558,0.2864778013631436
0.2,9,2,0.11135134296557841,0.16697999605728076
0.2,9,3,0.11149803992216169,0.1850721927229113
0.15,1,1,0.7182028939350995,1.186384415113937
0.15,1,2,0.7034395189159574,1.1663350131146961
0.15,1,3,0.5726504775046191,0.7104448301684142
0.15,3,1,0.20688889650439501,0.36586423412070024
0.15,3,2,0.1867804954024874,0.29861992262288267
0.15,3,3,0.1937111651936634,0.3154121505831521
0.15,5,1,0.11240035740472991,0.253844505992238
0.15,5,2,0.13324366808660895,0.1843350919986813
0.15,5,3,0.14180199542891816,0.23768969362307424
0.15,7,1,0.13567251199394828,0.2621110559305225
0.15,7,2,0.12644089050870053,0.2547497247505873
0.15,7,3,0.1629823818399837,0.3211476515332516
0.15,9,1,0.11841522893155576,0.21287752404892868
0.15,9,2,0.13488624592935405,0.2686478504425503
0.15,9,3,0.13651562210065568,0.24710135632183605
0.1,1,1,0.5608919102091044,0.7299675144493604
0.1,1,2,0.7050601781087902,1.1685467682901902
0.1,1,3,0.7039970859635857,1.1672540791666821
0.1,3,1,0.2899413404635949,0.468580743063154
0.1,3,2,0.21530267518488352,0.36090516024220026
0.1,3,3,0.27209457282191685,0.45921095625636577
0.1,5,1,0.22038117618176242,0.36714488975598136
0.1,5,2,0.17149782053163243,0.2788813724712493
0.1,5,3,0.13086786784523258,0.18016430338686465
0.1,7,1,0.15947126211951798,0.2841917815718038
0.1,7,2,0.1226567132856697,0.2157347136576199
0.1,7,3,0.10001411524426938,0.17756636586543031
0.1,9,1,0.17562075521746842,0.298941732905274
0.1,9,2,0.13114602372594614,0.21806714164612445
0.1,9,3,0.1110757734243462,0.21309285023517288
0.07,1,1,0.5470579528287683,0.6973011765480341
0.07,1,2,0.5720482891209853,0.7374850564875614
0.07,1,3,0.5427273325038532,0.6671289280343733
0.07,3,1,0.3068820793461623,0.5151764442600539
0.07,3,2,0.2960762160878103,0.4709654722559229
0.07,3,3,0.2194777452910747,0.3602718137895865
0.07,5,1,0.2725087913605308,0.37034570126908595
0.07,5,2,0.15371959164345372,0.2773114896527119
0.07,5,3,0.13950788771220266,0.24840729104515558
0.07,7,1,0.19009597214841956,0.30849702651180766
0.07,7,2,0.14175511651368045,0.2509673328413183
0.07,7,3,0.11673331017838587,0.24940244784105253
0.07,9,1,0.1669385574228038,0.2836371467739679
0.07,9,2,0.12475317378021697,0.26997554304042376
0.07,9,3,0.12022659275744986,0.3499595502821284
0.05,1,1,0.8128634930492182,1.3275500350217868
0.05,1,2,0.7245041803820224,1.1917815785954338
0.05,1,3,0.5462508046953023,0.666146504196648
0.05,3,1,0.2726181653515911,0.42939526992876215
0.05,3,2,0.20229073631538977,0.3742738339659526
0.05,3,3,0.2023807117036001,0.3758899922751405
0.05,5,1,0.3162293912099207,0.4298147326502072
0.05,5,2,0.23528950266815973,0.40135160983393187
0.05,5,3,0.1506293717542131,0.2533932550336446
0.05,7,1,0.25368735458758146,0.4084271644896656
0.05,7,2,0.15644563885503823,0.288747695593891
0.05,7,3,0.17172974227535429,0.3058343167434693
0.05,9,1,0.2267627130449311,0.36325457740831274
0.05,9,2,0.2047946307037346,0.39657110861646805
0.05,9,3,0.16655976286921553,0.3319321325657333
0.03,1,1,0.7595046790538841,1.011502930720122
0.03,1,2,0.828844732697429,1.3251439777170761
0.03,1,3,0.5738786318327013,0.7451411419313244
0.03,3,1,0.3375412692146747,0.505079403674963
0.03,3,2,0.2694460637288835,0.44632974030511346
0.03,3,3,0.2554002612562972,0.4131529303373147
0.03,5,1,0.26280752917000744,0.41916289738367585
0.03,5,2,0.24953583592668913,0.37826777817222734
0.03,5,3,0.20912986860231786,0.36020368808922465
0.03,7,1,0.37526815606695246,0.5364873870339477
0.03,7,2,0.2132019782496506,0.33701578373020435
0.03,7,3,0.1800656073473263,0.36919915925625096
0.03,9,1,0.27008471054277916,0.4454184823194998
0.03,9,2,0.24960681214515815,0.4251506272825849
0.03,9,3,0.16931336970659341,0.31830444703798966
